,Murder,Robbery,Rape,Dowry,Accident,Kidnapping,Suicide
13,82,466,73,9,219,26,18
14,86,483,119,15,219,53,9
15,144,1075,81,11,557,62,21
16,71,336,43,3,108,28,15
17,113,1503,232,13,297,860,34
18,38,784,87,11,272,49,19
19,123,1468,330,15,225,489,32
20,89,614,52,2,104,63,15
21,102,1119,247,14,385,323,44
22,69,853,105,7,290,426,25
23,0,0,0,0,0,0,0
24,26,214,69,2,69,17,7
25,24,327,44,3,81,22,14
1,59,651,127,5,264,165,31
2,56,573,207,9,163,93,33
3,187,3630,274,18,295,388,82
4,54,453,194,2,122,119,29
5,29,998,20,3,8,25,6
6,190,6472,294,23,491,551,92
7,74,953,79,8,148,70,48
8,98,829,158,14,258,545,60
9,90,842,101,12,203,68,41
10,67,942,155,5,155,263,26
11,100,1554,292,15,375,259,85
12,59,845,90,6,267,124,18
13,81,553,93,13,206,44,19
14,97,455,163,18,219,78,26
15,168,906,94,0,515,203,80
16,60,472,57,3,120,32,16
17,101,1647,190,10,266,777,42
18,98,987,153,5,273,54,44
19,129,1518,224,13,201,344,70
20,86,904,132,5,132,118,35
21,145,1324,213,15,429,384,115
22,65,855,81,10,248,253,29
23,0,0,0,0,0,0,0
24,38,254,87,1,86,37,14
25,20,352,65,3,72,21,13
1,69,1190,89,5,235,178,19
2,65,835,250,8,153,61,24
3,165,3032,255,22,286,406,38
4,51,740,102,7,104,176,25
5,28,944,11,4,8,12,41
6,186,4710,271,22,452,298,46
7,86,1243,152,7,161,161,36
8,138,1056,102,13,262,126,32
9,101,1229,68,10,177,200,26
10,80,1197,114,7,145,242,28
11,111,775,237,14,365,198,47
12,45,1398,121,7,235,239,27
13,71,709,110,6,187,44,16
14,62,642,197,15,235,106,7
15,137,972,64,14,594,188,21
16,46,604,102,2,120,453,13
17,106,1063,243,14,312,409,38
18,84,889,144,11,236,80,21
19,137,1753,204,13,198,239,42
20,64,1172,95,11,125,158,23
21,153,1019,173,18,381,247,44
22,71,1404,71,8,270,214,31
23,0,0,0,0,0,0,0
24,28,244,42,4,78,19,13
25,29,549,33,6,73,23,12
1,63,890,56,6,220,109,26
2,48,886,264,14,154,167,33
3,169,2917,196,19,220,490,45
4,52,618,90,8,87,157,21
5,55,314,6,1,4,9,27
6,89,4232,219,26,366,267,65
7,81,1263,158,7,140,178,33
8,154,915,105,13,218,104,29
9,159,1131,63,6,172,181,31
10,74,941,190,8,139,213,17
11,170,1618,232,9,325,165,28
12,54,1173,116,7,221,249,25
13,75,450,159,9,179,54,20
14,67,724,171,20,192,76,9
15,117,989,93,16,226,178,19
16,54,441,107,3,75,457,8
17,187,1364,208,12,274,505,40
18,71,943,175,12,210,178,30
19,158,1811,285,14,209,202,41
20,88,956,102,5,127,209,23
21,119,1412,136,21,315,358,36
22,38,1580,114,9,196,493,29
23,0,0,0,0,0,0,0
24,40,226,54,3,69,19,12
25,17,473,40,3,85,31,12
